Count,Name,Hyperlink,Angle,Start X,End X,Start Y,End Y
1,Line,4,270,70.9346,70.9346,96.5676,87.8417
1,Line,3,0,115.1865,123.7129,122.9744,122.9744
1,Line,3 ,270,119.4497,119.4497,126.4725,119.6402
1,Line,11,0,45.5235,55.1964,79.2133,79.2133
1,Line,11,270,50.2183,50.2183,84.6203,73.8063
1,Line,4,0,66.5106,75.3585,92.2047,92.2047
1,Line,2,270,119.7947,119.7947,148.3772,141.3863
1,Line,1,0,81.1924,90.3189,144.5370,144.5370
1,Line,1,270,85.7557,85.7557,148.3601,140.7138
1,Line,12,0,81.1178,90.3935,129.7114,129.7114
1,Line,12,270,85.7557,85.7557,133.3161,126.1067
1,Line,2,0,115.0402,124.5492,144.8818,144.8818
1,Line,6,270,291.2543,291.2543,28.1243,21.5000
1,Line,8,0,36.9304,46.8542,11.0732,11.0732
1,Line,8,270,41.8923,41.8923,14.2501,7.8963
1,Line,7,0,286.9592,303.5921,11.0732,11.0732
1,Line,7,270,295.2756,295.2756,14.0066,8.1398
1,Line,6 ,0,283.9163,298.5924,24.8122,24.8122
1,Line,5,270,84.6612,84.6612,40.3596,32.4791
1,Line,10,0,69.6454,78.4095,23.1147,23.1505
1,Line,10,270,74.0488,74.0488,26.1964,20.1046
1,Line,9,0,36.5144,47.2702,22.8712,22.8712
1,Line,9,270,41.8923,41.8923,25.8215,19.9208
1,Line,5,0,79.7624,89.5601,36.4193,36.4193
